Sample	SBS1	SBS7c	SBS40	SBS9	SBS7d	SBS38	SBS13	SBS7b	SBS7a	SBS17a	SBS17b	SBS5	SBS2
MELA_0006	0	26048	0	0	39570	0	0	139950	506905	0	0	47994	0
MELA_0020	0	4463	0	0	1716	0	0	10838	31570	0	0	2847	0
MELA_0025	0	3877	0	0	1996	0	0	5603	26253	0	0	150	0
MELA_0027	0	2264	0	0	1167	0	0	10902	17988	0	0	1227	0
MELA_0031	0	902	0	0	1503	0	0	8399	83284	0	0	0	0
MELA_0039	0	2741	0	0	2358	0	0	6591	30399	0	0	1349	0
MELA_0040	0	2775	0	0	586	0	0	5084	39283	0	0	3731	0
MELA_0047	0	9855	0	0	8827	0	0	45669	275089	0	0	0	0
MELA_0079	0	22828	0	0	5756	0	0	82137	107373	0	0	11238	0
MELA_0104	0	4516	0	0	4347	0	0	48475	99551	0	0	7603	0
MELA_0105	0	4563	0	0	2760	0	0	11162	68324	0	0	3192	0
MELA_0108	0	7012	0	0	4562	0	0	22081	77787	0	0	2126	0
MELA_0110	0	8870	0	0	2268	0	0	24800	134375	0	0	47	0
MELA_0166	0	12081	0	0	3947	0	0	53768	247823	0	0	17865	0
MELA_0176	0	21079	0	0	7189	0	0	92823	379653	0	0	34895	0
MELA_0177	0	2204	0	0	2607	0	0	14892	52915	0	0	0	0
MELA_0181	0	11975	0	0	11552	0	0	49315	201098	0	0	3269	0
MELA_0182	0	3546	0	0	4573	0	0	35152	100541	0	0	2125	0
MELA_0186	0	9027	0	0	6594	0	0	52684	302216	0	0	13233	0
MELA_0195	0	1362	0	0	4393	0	0	17221	39448	0	0	16276	0
MELA_0209	0	18461	0	0	46738	0	0	80807	534679	0	0	3333	0
MELA_0218	0	4455	0	0	4578	0	0	45108	71091	0	0	0	0
MELA_0221	0	19017	0	0	18099	0	0	60995	187750	0	0	3817	0
MELA_0222	0	487	0	0	396	0	0	1574	9628	0	0	794	0
MELA_0227	0	36707	0	0	29460	0	0	85533	216992	0	0	2180	0
MELA_0247	0	60848	0	0	11122	0	0	211314	330461	0	0	3341	0
MELA_0251	0	12321	0	0	6934	0	0	64849	276213	0	0	0	0
MELA_0253	0	14492	0	0	7365	0	0	66326	679025	0	0	0	0
MELA_0260	0	18821	0	0	18201	0	0	131480	1385773	0	0	0	0
SP124394	0	0	0	0	1982	0	0	20425	83469	0	0	0	0
