Sample	SBS10a	SBS1	SBS29	SBS3	SBS26	SBS19	SBS15	SBS10b	SBS6	SBS30	SBS13	SBS7a	SBS44	SBS5	SBS2
TCGA-C8-A3M7-01A-12D-A21Q-09	0	22	0	0	0	0	0	0	0	0	46	0	0	58	101
TCGA-C8-A8HP-01A-11D-A36J-09	0	14	0	0	0	0	0	0	0	0	110	0	0	42	106
TCGA-C8-A8HQ-01A-11D-A36J-09	0	28	0	0	0	0	0	0	0	0	146	0	0	36	163
TCGA-D8-A140-01A-11D-A10Y-09	0	18	29	0	0	0	0	0	0	21	0	0	0	45	21
TCGA-D8-A1J8-01A-11D-A13L-09	0	70	0	0	0	0	0	0	0	0	284	0	177	157	280
TCGA-D8-A1JA-01A-11D-A13L-09	0	31	0	0	0	0	0	0	0	0	736	0	0	18	405
TCGA-D8-A1JC-01A-11D-A13L-09	0	11	0	0	0	0	0	0	0	0	36	0	0	40	35
TCGA-D8-A1JJ-01A-31D-A14K-09	0	10	0	0	0	0	0	0	0	0	17	0	0	45	30
TCGA-D8-A1JN-01A-11D-A13L-09	0	16	0	0	0	0	0	0	0	0	55	0	0	45	92
TCGA-D8-A1XJ-01A-11D-A14K-09	0	21	0	0	0	0	0	0	0	0	0	0	0	60	32
TCGA-D8-A1XK-01A-21D-A14K-09	0	81	0	0	852	0	0	0	0	0	0	0	112	265	0
TCGA-D8-A1XM-01A-21D-A14K-09	0	12	0	0	0	0	0	10	0	0	0	0	0	19	16
TCGA-D8-A1XQ-01A-11D-A14K-09	0	119	0	0	0	0	0	0	0	0	0	0	167	748	0
TCGA-D8-A1XY-01A-11D-A14K-09	0	20	10	0	0	0	0	0	0	0	0	0	0	34	0
TCGA-D8-A1XZ-01A-11D-A14K-09	0	34	0	32	0	0	0	0	0	11	0	0	0	23	0
TCGA-D8-A1Y1-01A-21D-A14K-09	0	139	0	0	0	0	0	0	0	0	0	0	0	105	0
TCGA-D8-A27G-01A-11D-A16D-09	0	14	0	0	0	0	0	0	0	0	535	0	0	57	573
TCGA-D8-A27N-01A-11D-A16D-09	0	20	0	15	0	0	0	0	0	0	0	0	0	11	0
TCGA-D8-A27W-01A-11D-A16D-09	0	23	0	0	0	0	0	0	0	0	0	0	0	36	0
TCGA-D8-A73U-01A-11D-A33E-09	0	11	0	0	0	0	0	0	0	0	47	0	0	46	109
TCGA-E2-A10C-01A-21D-A10M-09	0	10	0	0	0	0	0	0	0	0	211	0	0	30	266
TCGA-E2-A14V-01A-11D-A12B-09	0	23	0	34	0	0	0	0	0	0	34	0	0	28	26
TCGA-E2-A159-01A-11D-A10Y-09	0	10	0	0	0	0	0	0	0	0	83	0	0	42	62
TCGA-E2-A15M-01A-11D-A12B-09	0	16	14	0	0	0	0	0	0	0	16	0	0	50	17
TCGA-E2-A1IN-01A-11D-A13L-09	0	12	0	0	0	0	0	0	0	0	101	0	0	47	89
TCGA-E2-A1LH-01A-11D-A14G-09	0	17	0	146	0	0	0	0	0	0	42	0	0	0	20
TCGA-E2-A2P6-01A-11D-A19Y-09	0	20	0	0	0	0	0	0	0	0	39	0	0	45	88
TCGA-E2-A574-01A-11D-A29N-09	0	20	0	0	0	0	0	0	0	0	32	0	0	73	34
TCGA-E9-A2JS-01A-11D-A17W-09	0	26	28	0	0	0	0	0	0	0	0	0	0	37	0
TCGA-EW-A1IW-01A-11D-A13L-09	0	13	0	0	0	0	0	0	0	0	25	0	0	48	43
TCGA-EW-A1IZ-01A-11D-A188-09	0	132	0	0	0	0	0	0	0	0	0	0	154	155	0
