Sample	SBS1	SBS34	SBS3	SBS18	SBS31	SBS26	SBS40	SBS20	SBS28	SBS37	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS44	SBS5	SBS2
8016537	1035	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3367	0
8031867	2937	575	0	0	0	0	6629	0	0	0	0	0	664	0	0	0	0	2105	314
8033414	1189	0	0	1199	0	0	6463	0	0	0	0	0	912	0	0	0	0	1482	546
8033471	1243	0	0	566	0	0	0	0	0	0	0	0	58	0	0	0	0	1768	205
8033510	859	204	1238	0	0	0	0	0	0	0	0	0	117	0	0	0	0	1588	188
8033691	1041	262	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	3117	0
8034048	820	0	1043	294	0	0	0	0	0	0	0	0	97	0	0	0	0	1434	133
8035591	589	0	0	0	0	0	2097	0	0	0	0	0	295	0	0	0	0	857	913
8035603	2628	0	0	0	0	0	0	0	0	0	0	0	0	1047	4723	0	0	7577	0
8035823	1379	0	2079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1980	0
8036161	1090	0	5713	0	0	0	8383	0	0	0	0	0	976	86	470	0	0	179	828
8044180	944	0	0	0	0	0	2153	0	0	0	0	0	319	0	0	0	0	992	267
8044460	825	0	0	421	0	0	0	0	0	0	0	0	141	0	0	0	0	1650	470
8044719	966	0	1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1217	176
8047810	700	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	1677	0
8047815	511	167	0	442	0	0	0	0	0	0	0	0	83	0	0	0	0	1926	89
8047838	838	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0
8047856	738	0	0	505	0	0	0	0	0	0	0	0	27	0	0	0	0	1521	81
8047881	1251	0	0	741	0	0	0	0	0	0	0	0	48	0	0	0	0	2021	139
8047913	1119	266	1694	0	0	0	0	0	0	0	0	0	55	0	0	0	0	1924	205
8048316	1321	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	5109	1292
8049749	917	249	2040	0	0	0	0	0	0	0	0	0	108	183	616	0	0	1878	249
8050103	680	188	0	621	0	0	0	0	0	0	0	0	53	0	0	0	0	1886	153
8052859	933	0	2118	896	0	0	0	0	0	0	0	0	189	0	0	0	0	2674	420
8057473	768	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	2126	200
8057501	890	0	6485	0	0	0	3627	0	0	0	0	0	1173	0	0	0	0	2042	492
8057528	1825	290	0	0	0	0	4267	0	0	0	0	0	326	0	0	0	0	1395	353
8057574	1297	0	0	0	0	0	5327	0	0	0	0	0	595	0	0	0	0	856	1117
8057700	1602	530	0	0	0	0	5268	0	0	1290	0	0	442	0	0	0	0	2431	84
8057726	1327	324	0	914	0	0	0	0	0	0	0	0	184	56	245	0	0	3216	353
8062296	816	238	0	0	0	0	2600	0	0	426	0	0	0	0	0	0	0	456	0
8062306	1302	0	0	982	0	0	0	0	0	0	0	0	78	0	0	0	0	3360	422
8062307	758	0	0	2453	0	0	2007	0	0	0	0	0	0	0	0	0	0	957	0
8062308	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23214	0
8064580	843	162	1201	0	0	0	0	0	0	0	0	0	146	0	0	0	0	1717	183
8066440	1467	0	0	0	0	0	3247	0	0	0	0	0	527	0	0	0	0	1232	483
8066443	707	190	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	2583	0
8066452	887	0	1438	391	0	0	0	0	0	0	0	0	0	0	0	0	0	1530	0
8066464	585	0	2558	546	0	0	0	0	0	0	0	0	304	0	0	0	0	1509	320
8066467	756	0	0	0	0	0	3240	0	0	0	0	0	168	0	0	0	0	1712	116
8066470	591	209	0	413	0	0	0	0	0	0	0	0	55	0	0	0	0	2253	150
8066491	1024	268	3348	0	0	0	4709	0	0	0	0	0	0	0	0	0	0	0	0
8066500	582	0	726	361	0	0	0	0	0	0	0	0	50	83	258	0	0	1446	102
8067232	1208	0	0	0	0	0	1660	0	0	0	0	0	132	0	0	0	0	804	192
8068539	1381	0	0	777	0	0	0	0	0	0	0	0	226	0	0	0	0	2779	310
8068551	679	0	0	375	0	0	0	0	0	0	0	0	71	0	0	0	0	1761	84
8068577	1257	240	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	2444	144
8068600	1105	235	0	822	0	0	0	0	0	0	0	0	132	0	0	0	0	2695	217
8068988	739	0	0	336	0	0	1827	0	0	0	0	0	0	0	0	0	0	1034	0
8069319	852	0	0	0	0	0	968	0	0	0	0	0	0	0	0	0	0	1002	0
8069321	852	0	1767	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1439	292
8069329	1062	0	0	550	0	0	0	0	0	0	0	0	103	0	0	0	0	2753	175
8069331	795	0	0	0	0	0	2322	0	0	0	0	0	504	0	0	0	0	1526	360
8069334	1226	0	0	0	0	0	0	0	0	0	0	0	0	456	1682	0	0	3738	0
8069459	1931	0	2112	0	0	0	0	0	0	0	0	0	149	0	220	0	0	1591	219
8070202	1323	301	2446	0	0	0	0	0	0	0	0	0	117	0	0	0	0	1985	271
ASHPC_0006_Pa_P	1788	367	3751	1098	0	0	0	0	0	0	0	0	0	0	0	0	0	2392	0
ASHPC_0013_Pa_P	1519	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4530	0
ASHPC_0014_Pa_P	297	0	577	680	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	0
ASHPC_0016_Pa_P	1172	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	2961	249
PCSI_0005_Pa_X	1319	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	3561	205
PCSI_0009_Pa_X	1271	0	4867	0	0	0	7509	0	0	0	0	0	1124	0	0	0	0	495	600
PCSI_0010_Pa_X	937	0	0	0	0	0	2246	0	0	0	0	0	0	0	0	0	0	980	0
PCSI_0017_Pa_P	511	105	1012	0	0	0	1689	0	0	0	0	0	0	0	0	0	0	549	0
PCSI_0020_Pa_X	971	370	2425	845	0	0	0	0	0	0	0	0	159	0	0	0	0	1858	215
PCSI_0085_Pa_P	418	127	0	589	0	0	0	0	0	0	0	0	56	0	0	0	0	1401	135
PCSI_0102_Pa_P	631	0	0	455	0	0	0	0	0	0	0	0	53	0	0	0	0	1963	120
PCSI_0114_Pa_P	980	0	0	497	0	0	0	0	0	0	0	0	51	0	0	0	0	2533	111
PCSI_0127_Pa_P	893	0	0	0	0	0	1873	0	0	0	0	0	719	0	0	0	0	287	801
PCSI_0286_Pa_P_526	72	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0
SP125707	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
