Sample	SBS1	SBS29	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS4	SBS17a	SBS17b	SBS5	SBS2
TCGA-78-7540-01A-11D-2063-08	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-78-7542-01A-21D-2063-08	12	0	0	0	0	0	0	0	0	10	281	0	0	107	33
TCGA-78-8640-01A-11D-2393-08	14	0	0	0	0	0	0	0	0	76	400	0	0	342	60
TCGA-86-8278-01A-11D-2284-08	12	0	0	0	0	0	0	0	0	53	0	0	0	24	54
TCGA-86-8358-01A-11D-2323-08	19	0	0	0	0	0	0	0	0	0	832	0	0	482	0
TCGA-86-A4JF-01A-11D-A24P-08	14	0	0	0	0	0	0	0	319	76	0	0	0	1023	60
TCGA-91-6836-01A-21D-1855-08	10	0	0	0	0	0	0	0	0	0	397	0	0	180	0
TCGA-91-A4BC-01A-11D-A24D-08	15	0	0	0	0	0	0	0	0	0	357	0	0	167	0
TCGA-93-8067-01A-11D-2284-08	16	0	0	0	0	0	0	0	0	239	0	0	0	169	243
TCGA-95-7043-01A-11D-1945-08	22	0	0	0	0	0	0	0	0	0	980	0	0	309	0
TCGA-95-7562-01A-11D-2238-08	17	0	0	0	0	0	0	0	0	0	361	0	0	74	0
TCGA-95-7948-01A-11D-2184-08	12	0	0	0	0	0	0	0	0	79	0	0	0	17	74
TCGA-95-8494-01A-11D-2323-08	19	0	0	0	0	0	0	0	0	29	0	0	0	44	39
TCGA-95-A4VK-01A-11D-A25L-08	16	0	0	0	0	0	0	0	0	0	196	0	0	92	0
TCGA-97-7554-01A-11D-2036-08	10	0	0	0	0	0	0	0	0	0	345	0	0	199	0
TCGA-97-8172-01A-11D-2284-08	21	0	0	0	0	0	0	0	0	0	175	0	0	117	0
TCGA-99-8025-01A-11D-2238-08	12	0	0	0	0	0	0	0	0	87	0	0	0	331	67
TCGA-99-8032-01A-11D-2238-08	18	0	0	0	0	0	0	0	0	19	286	0	0	132	13
TCGA-L9-A7SV-01A-11D-A397-08	24	0	0	0	0	0	0	0	0	0	1656	0	0	281	0
TCGA-MN-A4N1-01A-11D-A24P-08	22	0	0	0	0	0	0	0	0	25	330	0	0	180	10
TCGA-MN-A4N4-01A-12D-A24P-08	13	0	0	0	0	0	0	0	0	210	1076	0	0	326	195
TCGA-MP-A4TI-01A-21D-A24P-08	16	0	0	138	0	0	0	0	0	57	0	0	0	0	101
LC_C8	28	0	0	0	0	0	0	0	0	12	0	0	0	119	0
LC_S12	26	0	0	0	0	0	0	0	0	0	0	0	0	107	0
H23	25	0	0	0	0	0	0	0	0	21	103	0	0	85	0
H358	11	0	0	0	0	0	0	0	0	15	121	0	0	77	0
LUAD-74TBW	23	0	0	0	0	0	0	0	0	21	208	0	0	102	0
LUAD-B00416	15	0	0	0	0	0	0	0	0	0	615	0	0	301	0
LUAD-B00523	14	0	0	0	0	0	0	0	0	0	351	0	0	144	0
LUAD-B00859	19	0	0	0	0	0	0	0	0	0	210	0	0	123	0
LUAD-B01145	28	0	0	0	0	0	0	0	0	0	152	0	0	91	0
LUAD-B02216	20	0	0	0	0	0	0	0	0	0	277	0	0	154	0
LUAD-B02515	12	0	0	0	0	0	0	0	0	10	163	0	0	110	12
LUAD-B02594	24	0	0	0	0	0	0	0	0	0	534	0	0	172	0
