Sample	SBS1	SBS24	SBS29	SBS22	SBS3	SBS18	SBS31	SBS26	SBS40	SBS9	SBS19	SBS28	SBS6	SBS30	SBS14	SBS12	SBS4	SBS17a	SBS17b	SBS35	SBS16	SBS5
SP99007	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6526
SP50101	13	0	1053	565	0	0	0	0	0	0	0	0	0	0	0	596	0	0	0	0	0	6519
SP112265	186	0	0	0	0	0	0	0	3485	0	0	0	0	0	0	0	0	0	0	0	859	2621
SP112269	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1926	3750	0	0	0	0	11087
SP99013	238	0	0	0	0	0	0	0	4633	0	0	0	0	0	0	1297	0	0	0	0	0	2760
SP112276	27	0	650	0	0	0	0	0	0	0	0	0	0	0	0	1105	0	0	0	0	0	5171
SP99019	54	0	1468	0	0	0	0	0	0	0	0	0	0	0	0	1163	0	0	0	0	0	6965
SP99021	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3412	0	0	0	0	0	6791
SP112288	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894	0	0	0	0	0	7373
SP99029	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5183	3277	0	0	0	0	8821
SP99033	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4855	4408	0	0	0	0	6884
SP112300	239	0	1485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4543
SP112310	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5781	0	0	0	0	0	12009
SP99057	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	2162
SP99061	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2457	0	0	0	7012	0	9258
SP99065	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	7994
SP50111	239	0	1466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7554
SP99077	18	0	1330	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	6345
SP99081	74	0	1168	0	0	0	0	0	0	0	0	0	0	0	0	2812	0	0	0	0	0	6604
SP99085	108	0	1702	0	0	0	0	0	0	0	0	0	0	0	0	1982	0	0	0	0	0	8522
SP99089	70	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7286
SP99097	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2623
SP99101	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1279	0	0	0	0	4591
SP99105	73	0	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4369
SP99109	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2177	0	0	0	5665	0	7082
SP50113	73	0	0	2046	0	0	0	0	0	0	0	0	0	0	0	7534	0	0	0	8668	0	9142
SP50117	120	0	0	0	0	0	0	0	4250	0	0	0	0	0	0	0	0	0	0	0	0	6322
SP99121	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6509	2517	0	0	0	0	6575
SP99129	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1667	13745
SP99133	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3263	0	0	0	0	0	8412
SP99137	389	0	0	0	0	0	0	0	8867	0	0	0	0	0	0	4790	0	0	0	0	1179	1177
SP50121	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1761	0	0	0	1263	0	6314
SP50123	44	0	1795	0	0	0	0	0	0	0	0	0	0	0	0	3146	0	0	0	0	0	9456
SP99141	225	0	0	0	0	0	0	0	6166	0	0	0	0	0	0	2473	0	209	605	0	0	1763
SP99145	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4998
SP99149	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3288	0	0	0	0	0	10036
SP50129	32	0	1311	0	0	0	0	0	0	0	0	0	0	0	0	1996	0	0	0	0	0	6263
SP99153	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3156	1125	0	0	0	0	3626
SP99157	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	864	0	0	0	0	0	7670
SP99161	63	0	888	0	0	0	0	0	0	0	0	0	0	0	0	1029	0	0	0	0	0	5912
SP99165	106	0	1488	0	0	0	0	0	0	0	0	0	0	0	0	2183	0	0	0	0	0	7621
SP50131	264	0	0	0	0	0	0	0	9539	0	0	0	0	0	0	4364	0	0	0	0	0	4677
SP50133	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2635	0	0	0	906	0	3796
SP50135	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2030	1455	0	0	0	0	7060
SP50137	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3780
SP99177	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4619	0	0	0	0	0	8394
SP99193	54	0	980	0	0	0	0	0	0	0	0	0	0	0	0	3005	0	0	0	0	0	5283
SP50145	11	0	921	0	0	0	0	0	0	0	0	0	0	0	0	968	0	0	0	0	0	5302
SP107012	788	0	0	0	0	0	0	10159	0	0	0	0	12182	0	4487	0	0	0	0	0	0	16505
SP107017	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	1735	0	0	0	0	5324
SP107019	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486	2175	0	0	0	0	6373
SP107023	237	0	0	0	0	0	0	0	3651	0	0	0	0	0	0	2101	0	0	204	0	0	2531
SP99197	475	0	0	0	0	0	0	0	16671	0	0	0	0	0	0	2801	0	343	1811	0	0	1387
SP99201	96	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4555
SP50157	119	0	1023	0	0	0	0	0	0	0	0	0	0	0	0	1259	0	0	0	0	0	6482
SP50159	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1577	2610	0	0	0	0	7822
SP107028	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2745	2091	0	0	0	0	5558
SP50163	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4831	0	0	0	2091	0	7304
SP99217	39	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5796
SP107030	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2505	1828	0	0	0	0	5789
SP50167	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2820	2355	0	0	0	0	8561
SP99229	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905	926	0	0	0	0	4475
SP99233	163	0	0	0	0	0	0	0	3644	0	0	0	0	0	0	0	0	0	0	0	728	2799
SP50171	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4893	3092	0	0	0	0	9709
SP107034	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2365	0	0	0	0	0	6517
SP50179	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2922	1679	0	0	0	0	6697
SP99237	324	0	0	0	0	0	0	0	3294	0	0	0	0	0	0	1016	0	0	0	0	0	2793
SP107041	179	0	1136	0	0	0	0	0	0	0	0	0	0	0	0	2555	0	0	0	0	0	4839
SP99249	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	1289	0	0	0	0	5369
SP99257	293	0	0	1032	0	0	0	0	7474	0	0	0	0	0	0	6714	0	0	0	0	0	2687
SP107044	61	0	562	0	0	0	0	0	0	0	0	0	0	0	0	1119	0	0	0	0	0	4118
SP50185	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1537	0	0	0	0	6428
RK018_C01	16	0	0	0	444	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	545
RK283_C01	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511
RK316_C01	143	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1179
CHC018T	1094	0	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17171
CHC255T	605	0	0	0	10697	0	0	0	0	0	0	0	0	0	0	5568	0	0	0	0	0	9455
CHC304T	271	0	0	0	8636	2821	0	0	0	0	0	0	0	0	0	2980	0	0	0	0	2468	11085
CHC309T	249	0	0	0	3717	1007	0	0	0	0	0	0	0	0	0	992	0	0	0	0	0	6171
CHC314T	525	0	0	0	5449	1549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1274	15972
CHC334T	280	0	0	0	1891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4162
CHC442T	443	0	0	0	3086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5476
CHC906T	625	0	0	0	9454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17439
HX19T	122	0	0	0	5788	1629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4422
HX5T	92	0	0	0	2566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5658
HX9T	182	0	0	0	2983	0	0	0	0	0	0	0	0	0	0	1596	0	0	0	0	0	2711
RK040_C01	35	0	0	0	0	1236	0	0	0	0	0	0	0	0	0	2410	0	0	0	0	0	6419
RK194_C01	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	2765
RK212_C01	102	0	0	0	4025	1265	0	0	0	0	0	0	0	0	0	1910	0	0	0	0	1376	3812
