Sample	SBS10a	SBS1	SBS36	SBS21	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS14	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-D7-6518-01A-11D-1800-08	0	38	0	0	0	51	0	0	0	0	0	0	0	0	0	0	10	0
TCGA-D7-6520-01A-11D-1800-08	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
TCGA-D7-6521-01A-11D-1800-08	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	14
TCGA-D7-6524-01A-11D-1800-08	0	53	0	0	0	49	0	0	0	0	0	0	0	0	0	0	22	0
TCGA-D7-6525-01A-11D-1800-08	0	45	0	0	0	80	0	0	0	0	0	0	0	18	25	0	24	11
TCGA-D7-6526-01A-11D-1800-08	0	38	0	0	0	0	0	0	0	0	0	0	0	23	32	0	149	18
TCGA-D7-6818-01A-11D-1882-08	0	25	0	0	0	0	0	0	0	0	0	0	0	36	64	0	74	0
TCGA-D7-8572-01A-11D-2340-08	0	41	0	0	0	115	0	0	0	0	0	0	0	0	0	0	67	0
TCGA-D7-8573-01A-11D-2340-08	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
TCGA-D7-8576-01A-11D-2340-08	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0
TCGA-D7-8579-01A-11D-2340-08	0	41	0	0	0	0	0	0	0	0	0	0	0	16	33	0	53	0
TCGA-D7-A4YT-01A-11D-A25D-08	0	49	0	0	0	276	0	0	0	0	0	17	0	0	0	0	13	0
TCGA-D7-A4YU-01A-21D-A25D-08	0	77	0	0	0	113	0	0	0	0	0	0	0	13	35	0	47	0
TCGA-D7-A4YV-01A-11D-A25D-08	0	417	0	0	0	0	0	162	0	0	0	0	0	0	0	0	434	0
TCGA-D7-A4YY-01A-11D-A25D-08	0	141	0	0	0	0	74	78	0	0	0	0	0	14	38	0	212	0
