Sample	SBS1	SBS34	SBS3	SBS21	SBS18	SBS26	SBS40	SBS9	SBS37	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS41	SBS44	SBS5	SBS39	SBS2
PD24184a	334	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	1875	0	626
PD24186a	206	0	4590	0	0	0	0	0	0	0	215	0	0	0	576	0	1730	0	55
PD24188a	293	77	0	0	0	0	0	0	0	0	210	0	0	0	0	0	1291	0	179
PD24189a	4244	0	0	0	0	6290	0	0	0	0	0	0	0	0	0	11390	7518	0	0
PD24190a	333	0	3463	0	1118	0	0	0	0	0	435	475	1034	0	0	0	2530	0	272
PD24191a	229	0	3882	0	0	0	0	0	0	0	0	0	0	0	619	0	1290	0	0
PD24192a	449	0	11418	0	0	0	0	0	0	0	1711	0	0	0	0	0	3337	0	603
PD24193a	1216	0	0	0	0	0	0	0	0	0	323	0	0	0	0	4092	5203	0	375
PD24194a	322	0	0	0	0	0	0	0	0	0	5515	0	0	0	0	0	2899	0	4910
PD24195a	204	82	0	0	255	0	0	0	0	0	34	0	0	0	0	0	1588	0	65
PD24196a	178	0	1054	0	368	0	0	0	0	0	184	0	0	0	0	0	659	0	142
PD24197a	231	168	0	0	0	0	0	0	0	0	0	0	0	8212	0	0	6499	4849	0
PD24198a	177	56	424	0	0	0	0	0	0	0	12	0	0	0	0	0	859	0	45
PD24199a	278	0	1153	0	0	0	0	0	0	0	166	0	0	0	273	0	810	0	154
PD24200a	26	0	0	0	0	0	0	0	0	0	0	0	0	297	84	0	311	250	0
PD24201a	784	0	0	0	544	0	0	0	0	0	825	0	0	6659	2233	0	5767	2742	660
PD24202a	285	0	0	0	0	0	0	0	0	0	707	0	0	0	0	0	3847	2597	261
PD24204a	669	0	0	0	530	0	0	0	0	0	0	0	0	0	0	0	1586	0	0
PD24205a	395	0	5213	0	846	0	0	0	0	0	291	0	0	0	0	0	1707	0	239
PD24206a	184	244	0	0	564	0	0	0	0	0	217	0	0	0	0	0	2100	0	265
PD24207a	520	0	0	0	0	0	0	0	0	0	1067	0	0	0	0	0	2060	0	1069
PD24208a	462	0	0	0	0	0	0	0	0	0	10803	0	0	0	0	0	1121	0	13174
PD24209a	167	0	0	0	0	0	0	0	0	0	4484	0	0	0	0	0	3159	0	2259
PD24212a	388	381	5356	0	1139	0	0	0	0	0	418	0	0	0	0	0	1661	0	482
PD24213a	122	38	251	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0
PD24214a	608	0	0	0	808	0	0	0	0	0	0	0	0	0	0	0	1639	0	0
PD24215a	120	0	0	0	1170	0	0	0	0	0	284	0	0	0	1237	0	2042	1068	189
PD24216a	320	0	0	0	0	0	0	0	0	0	2580	0	0	0	0	0	3900	0	2466
PD24217a	93	0	0	0	0	0	0	0	0	0	9874	0	0	0	0	0	325	0	4973
PD24218a	228	158	0	0	250	0	0	0	0	0	85	0	0	0	0	0	2449	0	102
PD24219a	758	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	2195	0	0
PD24220a	540	0	0	0	394	0	0	0	0	0	653	0	0	0	0	0	1720	0	277
PD24221a	96	0	774	0	352	0	0	0	0	0	0	0	0	0	337	0	712	0	0
PD24224a	232	80	0	0	305	0	0	0	0	0	112	0	0	0	0	0	1354	0	104
PD24225a	149	0	0	0	239	0	0	0	0	0	231	0	0	0	0	0	872	0	312
PD24302a	179	61	0	0	0	0	0	0	0	0	26	0	0	0	0	0	934	0	62
PD24303a	164	0	3000	0	0	0	0	0	0	0	537	0	0	0	0	0	596	0	151
PD24304a	139	93	0	0	288	0	0	0	0	0	0	0	0	2483	0	0	1994	1761	0
PD24306a	94	60	0	0	0	0	0	0	0	0	149	0	0	1057	0	0	1156	754	38
PD24307a	169	72	347	0	145	0	0	0	0	0	24	0	0	0	0	0	763	0	62
PD24308a	358	274	1739	0	0	0	0	0	0	0	238	0	0	0	0	0	2010	0	92
PD24314a	382	0	933	0	575	0	0	0	0	0	106	0	0	0	393	0	1368	0	87
PD24318a	301	88	0	0	195	0	0	0	0	0	73	0	0	0	0	0	1829	0	34
PD24320a	1013	0	0	5381	0	0	0	0	0	0	0	0	0	0	0	0	9267	0	0
PD24322a	435	0	1604	0	0	0	0	0	0	0	748	0	0	0	0	0	1430	0	621
PD24325a	511	0	0	0	1041	0	0	0	0	0	843	0	0	0	1070	0	3824	2695	287
PD24326a	375	0	0	0	0	0	0	0	0	0	10690	0	0	0	0	0	2014	0	10447
PD24327a	455	0	0	0	0	0	0	0	0	0	6980	0	0	0	0	0	2920	0	5743
PD24328a	247	0	829	0	0	0	0	0	0	0	211	0	0	0	0	0	745	0	177
PD24329a	442	0	436	0	263	0	0	0	0	0	56	0	0	0	0	0	766	0	124
PD24332a	345	112	0	0	266	0	0	0	0	0	61	0	0	0	0	0	1007	0	117
PD24333a	522	0	0	0	0	0	0	0	0	0	1396	820	11692	0	0	0	6899	0	1459
PD24335a	743	0	1114	0	317	0	0	0	0	0	252	0	0	0	0	0	1250	0	247
PD24336a	153	164	0	0	375	0	0	0	0	0	178	0	0	0	0	0	2160	0	289
PD24337a	269	0	3821	0	0	0	0	0	0	0	269	0	0	0	0	0	1122	0	114
PD4076a	343	0	0	0	213	0	0	0	0	0	41	0	0	0	0	0	1282	0	200
PD4252a	483	0	827	0	712	0	0	0	0	220	0	0	0	0	438	0	1073	0	0
PD4264a	467	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	1398	0	199
PD4844a	447	0	8416	0	0	0	0	0	0	0	915	0	0	0	0	0	2412	0	428
PD4872a	198	0	2821	0	0	0	0	0	0	0	643	0	0	0	0	0	556	0	508
PD4874a	193	0	0	0	0	0	0	0	0	0	1925	0	0	0	0	0	4130	2358	935
PD4875a	388	0	3304	0	662	0	0	0	0	0	252	0	0	0	0	0	1944	0	169
PD4876a	170	0	3298	0	0	0	0	0	0	0	394	0	0	0	0	0	680	0	259
PD4956a	423	0	7683	0	0	0	0	0	0	0	1251	0	0	0	0	0	1640	0	344
PD4969a	121	54	0	0	148	0	0	0	0	0	14	0	0	0	0	0	659	0	30
PD4972a	164	48	0	0	146	0	0	0	0	0	0	0	0	0	0	0	782	0	0
PD4977a	854	0	0	0	0	0	0	0	0	0	18369	0	0	0	0	0	3183	0	19729
PD4978a	332	0	1133	0	0	0	0	0	0	0	542	0	0	0	0	0	1149	0	548
PD5930a	190	0	2018	0	260	0	0	0	0	0	416	0	0	0	352	0	544	0	122
PD5932a	341	0	6050	0	0	0	0	0	0	0	1535	0	0	0	0	0	1407	0	498
PD5937a	3845	0	0	0	0	0	0	0	0	0	19606	0	0	0	0	19178	9407	0	23827
PD5938a	205	0	329	0	0	0	0	0	0	0	68	0	0	0	0	0	734	0	189
PD5945a	190	0	0	0	0	0	0	0	0	0	370	0	0	2612	623	0	2480	2264	160
PD5946a	618	0	0	0	690	0	0	0	0	0	171	0	0	0	0	0	2245	0	158
PD5947a	255	0	431	0	198	0	0	0	0	133	190	0	0	0	0	0	382	0	178
PD5948a	403	0	6585	0	0	0	0	0	0	0	0	0	0	0	1662	0	3397	2919	0
PD5953a	337	0	0	0	212	0	0	0	0	0	0	0	0	0	226	0	1298	0	0
PD5954a	249	87	488	0	0	0	0	0	0	0	118	0	0	0	0	0	852	0	209
PD5959a	301	82	603	0	0	0	0	0	0	0	72	0	0	0	0	0	1194	0	234
PD5960a	282	0	2412	0	0	0	0	0	0	0	129	0	0	0	0	0	987	0	146
PD5964a	154	0	455	0	267	0	0	0	0	0	49	0	0	0	0	0	576	0	75
PD6016a2	226	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	1087	0	338
PD6048a	479	0	1154	0	524	0	0	0	0	206	132	0	0	0	0	0	403	0	164
PD6404a	412	0	3036	0	0	0	0	0	0	0	520	0	184	0	0	0	2008	0	330
PD6405a	633	0	0	0	0	0	0	0	0	0	23336	0	0	0	0	0	2322	0	8895
PD6406a	204	0	3257	0	325	0	0	0	0	0	255	0	0	0	495	0	316	0	75
PD6412a	2690	0	0	0	0	4920	0	0	0	0	0	0	0	0	0	5166	12147	0	0
PD6414a	170	0	0	0	197	0	0	0	0	99	39	0	0	0	201	0	961	0	92
PD6416a	77	138	0	0	0	0	0	0	0	0	351	37	153	0	0	0	1465	896	170
PD6684a	448	0	8657	0	0	0	0	0	0	0	2321	0	0	0	0	0	1440	0	634
PD6711a2	300	0	473	0	0	0	0	0	0	155	28	0	0	0	0	0	849	0	91
PD6727b	833	0	2679	0	0	0	0	0	0	0	869	0	0	0	0	0	1789	0	453
PD6728b	232	0	1263	0	289	0	0	0	0	0	129	0	0	0	0	0	537	0	96
PD6729a2	528	0	2433	0	0	0	0	0	0	0	136	0	0	0	0	0	1645	0	100
PD6730b	417	0	6855	0	835	0	0	0	0	0	393	0	0	0	0	0	1225	0	188
PD6731a2	263	0	0	0	0	0	0	0	0	0	2744	0	0	0	0	0	4221	0	1245
PD6732b	253	0	1017	0	0	0	0	0	0	0	347	0	0	0	0	0	1110	0	160
PD6733b	498	0	0	0	560	0	0	0	0	0	586	0	0	0	550	0	1980	0	455
PD7066a	335	0	2108	0	0	0	0	0	0	0	241	0	0	0	259	0	566	0	97
PD7067a	388	0	0	0	0	0	0	0	0	0	281	0	0	0	902	0	2965	1215	129
PD7069a	423	0	0	0	0	0	0	0	0	0	1393	0	0	0	0	0	2269	0	1022
PD7070a	199	0	0	0	0	0	0	0	0	0	658	0	0	0	1426	0	3727	1920	311
PD7202a	784	0	0	0	1351	0	0	0	0	0	279	0	0	0	0	0	2310	0	385
PD7203a	108	0	0	0	297	0	0	0	0	0	280	0	0	0	0	0	663	0	210
PD7204a	345	79	0	0	249	0	0	0	0	0	23	0	0	0	0	0	1310	0	162
PD7205a	465	0	0	0	0	0	0	0	0	0	1986	0	0	0	0	0	4295	0	1064
PD7210a	238	51	0	0	151	0	0	0	0	0	0	0	0	0	0	0	871	0	0
PD7211a	459	0	6120	0	0	0	0	0	0	0	378	0	0	0	0	0	999	0	203
PD7220a	408	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	1678	0	363
PD7238a	348	0	569	0	0	0	0	0	0	177	45	0	0	0	0	0	807	0	261
PD7240a	648	0	2072	0	0	0	0	0	0	0	173	0	0	0	504	0	1603	0	148
PD7243a	568	0	1926	0	1366	0	0	0	0	0	271	0	0	0	0	0	2057	0	510
PD7248a	523	0	8928	0	0	0	0	0	0	0	1306	0	0	0	0	0	1704	0	395
PD7249a	314	0	0	0	478	0	0	0	0	0	893	0	0	0	0	0	2084	0	778
PD7250a	319	0	3959	0	0	0	0	0	0	0	246	0	0	0	0	0	1540	1608	107
PD7304a	238	0	733	0	193	0	0	0	0	0	74	0	0	0	0	0	611	0	144
PD7305a	717	0	0	0	1067	0	0	0	0	0	424	0	0	0	0	0	2146	0	380
PD7306a	738	258	1577	0	982	0	0	0	0	0	479	0	0	0	0	0	2094	0	679
PD7307a	230	0	0	0	0	0	0	0	0	0	3461	0	0	0	0	0	2354	0	2305
PD7322a	316	0	0	0	588	0	0	0	0	0	0	0	0	0	0	0	1099	0	0
PD7341a	329	0	0	0	432	0	0	0	0	0	459	0	0	0	0	0	1581	0	247
PD7344a	81	0	0	0	114	0	0	0	0	0	35	0	0	0	111	0	367	0	12
PD7426a	170	0	0	0	0	0	0	0	0	0	4598	0	0	0	0	0	6284	6267	935
PD7427a	112	72	0	0	410	0	0	0	0	0	68	0	0	0	0	0	732	315	29
PD7428a	564	0	12357	0	0	0	0	0	0	0	1192	0	0	0	0	0	1274	0	407
PD8608a	343	0	0	0	0	0	0	0	0	0	4011	0	0	0	0	0	1290	0	5229
PD8609a	355	0	0	0	0	0	0	0	0	0	1147	0	0	0	0	0	1751	0	1787
PD8610a	184	0	3301	0	0	0	0	0	0	0	434	0	0	0	0	0	809	0	281
